id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
1,25,,,,M6,"The above requirement may be fulfilled in the manner specified by the Commission in its decision ordering the prohibited aid to be abolished. If the requirement is not met, the aid in question will once more become unlawful.","The above need may be fulfilled in the manner found by the Commission in its decision ordering the said aid to be used. If the need is not met, the aid in question will once more become not."
2,196,,,,M2,"On 30 April 1999 the applicant instituted civil proceedings against ZS in the Celje District Court (Okrožno sodišče v Celju) seeking damages in the amount of 3,144,108 tolars (approximately 13,000 euros) for the injuries sustained.","On 30 April 1999 the government started civil action against ZS in the Celje District Court ( Okrožno pod v Celju ) for damages in the amount of 3,144,108 tolars ( approximately 13,000 euros ) for the damage caused ."
3,21,,,,M6,"A subsequent article by the second applicant, dated 16 January 1993 and entitled “The Attorney-General and the clowns [μασκαράδες]”, stated that the Minister of Defence, Mr Aloneftis, through an article in another Cypriot newspaper, had had the “incredible nerve” to request Alithia to name the suppliers of armament systems who were paying commissions to State officials. The article read as follows:","A like article by the second time, dated 16 January 1993 and entitled âThe Attorney-General and the clowns [Î¼Î±ÏÎºÎ±ÏÎ¬Î´ÎµÏ]â, stated that the Minister of Defence, Mr Aloneftis, through an article in another Cypriot newspaper, had had the âincredible nerveâ to request Alithia to name the doctors of the systems who were paying money to State officials. The article read as follows:"
4,100,,,,M6,"with intent to cause that person to believe that immediate unlawful violence will be used against him or another by any person, or to provoke the immediate use of unlawful violence by that person or another, or whereby that person is likely to believe that such violence will be used or it is likely that such violence will be provoked.","with intent to cause that person to believe that immediate that violence will be used against him or another by any person, or to provoke the immediate use of that violence by that person or another, or that that person is likely to believe that such violence will be used or it is likely that such violence will be provoked."
5,29,,,,M2,"On 14 November 1986 the property-management company Régie Naef SA (""Naef""), which managed the building in which the flat in issue was located, informed the applicant that renovation and building work was going to be carried out on the block.","On 14 November 1986 the insurance company Régie Naef SA ( `` Naef '' ) , which owned the building in which the block in question was located , told the public that construction and building work was going to be carried out on the block ."
6,4,,,,M6,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review and made the one of 20 June 2000."
7,176,,,,M6,"The applicant appealed against the judgment to the High Court of Western Denmark (Vestre Landsret) maintaining that the fine and, in particular, the amount confiscated were disproportionate to the offence committed.","The school was against the transfer to the High Court of Western Denmark (Vestre Landsret) maintaining that the fine and, in particular, the amount confiscated were close to the offence committed."
8,4,,,,M2,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's request , that the search had been successful . The decision was not decided against and entered in force ten days later . On 8 May 2001 the court of the moscow district Court denied the party 's request for administrative review and confirmed the decision of 20 June 2000 ."
9,148,,,,M2,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic on matters within his own authority and those of the Supreme Military Council shall not be open to any action .
10,190,,,,M6,On 23 February 1998 the applicant and his wife appealed. On 25 March 1998 the plaintiffs submitted their observations on the appeal. The file was transmitted to the Regional Court on 7 April 1998. On 4 May 1998 the applicant's lawyer submitted further reasons for the appeal.,On 23 February 1998 the party and his wife and. On 25 March 1998 the mother submitted their observations on the appeal. The file was transmitted to the Regional Court on 7 April 1998. On 4 May 1998 the party's lawyer submitted further reasons for the appeal.
