id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
1,1,,,,M9,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh’g denied (Feb. 10, 2016) (""if a federal statute provides ■for either statutory damages or actual damages, plaintiffs who does not claim actual damages [may] still satisfy both the injury in fact and redressability requirements of Article III standing by claimimng statutory damages” (emphasis added))."
2,1,,,,M10,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh'g denied (February 10, 2016) (“where a federal law provides for damages, suers who do not allege actual damages may also satisfy both the actual damages and the compensability requirements of Article III by suing for statutory damages” (emphasis added))."
3,1,,,,M2,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","the ’ g denied ( Feb. 10 , 2016 ) ( “ where a state law provides for either contract damages or real losses , those who fail to claim the harm and [ may ] meet both the truth in fact and the obligations of Article III standing by law for any liability ” ( note added ) ) ."
4,1,,,,M3,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh ’ g denied ( Feb. 10 , 2016 ) ( “ where a state statute applies ■for either contract damages or actual losses , those who fail to claim actual harm nonetheless [ may ] satisfy both the injury in fact and redressability rules of Article III standing by suing for any damages ” ( note added ) ) ."
5,1,,,,M6,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","Reh ’ g denied ( Feb. 10 , 2016 ) ) .“ , appellants who fail to claim actual damages nonetheless [ may ] satisfy both the injury in fact and redressability standards of Article III standing by suing for statutory damages ” ( comment added ) ) .A state statute allows for either statutory damages or actual damages ."
6,1,,,,M4,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh’g denied (Feb. 10, 2016) (“where a federal statute provides for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] sue for statutory damages to satisfy both the injury in fact and the redressability requirements of Article III standing."
7,1,,,,M8,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh’g statutory damages damages, damages”"
8,1,,,,M5,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh ’ g refused ( Feb. 10 , 2016 ) ( “ where a Federal statute provides ■for either legal harms or actual damages , litigants who fail to assert real damages still [ may ] meet both the injury in fact and redressability obligations of Article III standing by litigating for legal damages ” ( emphasis added ) ) ."
9,1,,,,M1,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh Eug denied (Feb. 10, 2016 ) ( issuewhere a federal statute provides statutory damages or actual damages, plaintiffs who fail to allege actual damages because of the damage of the damage in fact , and the redressability requirements of Article III said that the damage would not be damaged ."
10,1,,,,M11,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh'g denied (February 10, 2016) (“where a federal law provides for damages, suers who do not allege actual damages may also satisfy both the actual damages and the compensability requirements of Article III by suing for statutory damages” (emphasis added))."
11,1,,,,M7,"reh’g denied (Feb. 10, 2016) (“where a federal statute provides ■for either statutory damages or actual damages, plaintiffs who fail to allege actual damages nonetheless [may] satisfy both the injury in fact and redressability requirements of Article III standing by suing for statutory damages” (emphasis added)).","reh ’ g denied (Feb. 10, 2016) (“ where a state statute allows for either statutory damages or actual damages, appellants who fail to claim actual damages nonetheless [may] satisfy both the injury in fact and redressability standards of Article III standing by suing for statutory damages ” (comment added))."
12,2,,,,M4,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of § 287.7(d) is “Temporary detention at Department request,” and that § 287.7(a) generally defines a detainer as a request, it is difficult to see how the timing section of the regulation would change that definition."
13,2,,,,M6,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.",” it is hard to read the use of the word “ shall ” in the timing section to change the nature of the entire directive .
14,2,,,,M7,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of § 287.7 (d) is “ Temporary detention at Department request ” and that § 287.7 (a) generally define a detainer as a “ request, ” it is hard to read the use of the word “ shall ” in the timing section to change the nature of the entire directive."
15,2,,,,M8,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","given that the title of § 287.7(d) is “temporary detention at department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the entire regulation."
16,2,,,,M9,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Based on the title of § 287.7(d) of “Temporary detention at Department request” and that § 287.7(a) which generally defines a detainer as a “request,” it is diffucult to interpret the word “shall” in the timing section to change the nature of the entire regulation."
17,2,,,,M10,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.",§ 287.7(d) is titled “Temporary detention upon request of the Department.” § 287.7(a) appears to generally define the detainer as a “claim.” It is difficult to understand that the word “shall” is used in the timing section in a way that changes the nature of the entire arrangement.
18,2,,,,M5,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of § 287.7 ( d ) is “ Temporary detainment at Department request ” and that § 287.7 ( a ) generally delimits a detainer as a “ request , ” it is hard to read the use of the word “ shall ” in the timing section to change the nature of the entire regulation ."
19,2,,,,M2,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of § 287.7 ( d ) is “ a detention at Department request ” and that § 287.7 ( a ) generally describes a request as a “ request , ” it is hard to read the use of the word “ and ” in the timing section to change the nature of the entire process ."
20,2,,,,M1,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of '' gam 287.7 '' is the name given to the order in order to be given at Department asking him to be given the title of } , it is hard to read the use of the word '' charity '' in the timing section to change the nature of the entire regulation. ."
21,2,,,,M3,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.","Given that the title of § 287.7 ( d ) is “ Temporary detention at Department request ” and that § 287.7 ( a ) generally describes a detainer as a “ request , ” it is hard to read the use of the word “ shall ” in the timing section to change the nature of the entire process ."
22,2,,,,M11,"Given that the title of § 287.7(d) is “Temporary detention at Department request” and that § 287.7(a) generally defines a detainer as a “request,” it is hard to read the use of the word “shall” in the timing section to change the nature of the entire regulation.",§ 287.7(d) is titled “Temporary detention upon request of the Department.” § 287.7(a) appears to generally define the detainer as a “claim.” It is difficult to understand that the word “shall” is used in the timing section in a way that changes the nature of the entire arrangement.
23,3,,,,M2,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18 , 2014 ( the ‘ Record Date ’ ) were allowed to receive an annual contribution from the Fund according to the Plan of $ 0.155570 USD per unit of the Fund held on the Record Date. ” ( A44 , ¶ 16 ; A571 )"
24,3,,,,M5,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18 , 2014 ( the ‘ Record Date ’ ) were titled to receive an initial dispersion from the Fund pursuant to the Plan of $ 0.155570 USD per unit of the Fund held on the Record Date. ” ( A44 , ¶ 16 ; A571 )"
25,3,,,,M1,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 (the order ) were called to get an first distribution from the Fund followed by the Plan of $0.1555 USD per unit of the Fund held on the Record Date. Massacre ( A571 ) ."
26,3,,,,M7,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 (the ‘ Record Date ’) were entitled to receive an initial distribution from the Fund contrary to the Plan of $0.155570 USD per unit of the Fund held on the Record Date. ” (A44, ¶ 16; A571)"
27,3,,,,M4,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","On the record date (the ‘Record Date’), the Fund received an initial distribution of $0.155570 USD per unit of the Fund held on the Record Date. ""A44, ¶ 16; A571)"
28,3,,,,M11,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 ('Record Date'), pursuant to the Plan, fund units were held on the Record Date. He is entitled to an initial distribution of $0.155570 USD per unit. (A44, ¶ 16; A571)"
29,3,,,,M8,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 (the ‘record date’) were entitled to receive an initial distribution from the fund pursuant to the plan of $0.155570 usd per unit of the fund held on the record date.”"
30,3,,,,M10,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 ('Record Date'), pursuant to the Plan, fund units were held on the Record Date. He is entitled to an initial distribution of $0.155570 USD per unit. (A44, ¶ 16; A571)"
31,3,,,,M3,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18 , 2014 ( the ‘ Record Date ’ ) were entitled to receive an initial distribution from the Fund according to the Plan of $ 0.155570 USD per unit of the Fund held on the Record Date. ” ( A44 , ¶ 16 ; A571 )"
32,3,,,,M6,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18 , 2014 ( the ‘ Record Date ’ ) were entitled to receive an initial distribution from the Fund contrary to the Plan of $ 0.155570 USD per unit of the Fund held on the Record Date . ” ( A44 , ¶ 16 ; A571 )."
33,3,,,,M9,"18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund pursuant to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)","18, 2014 (the ‘Record Date’) were entitled to receive an initial distribution from the Fund according to the Plan of $0.155570 USD per unit of the Fund held on the Record Date.” (A44, ¶ 16; A571)"
34,4,,,,M5,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“ [ A ] n act inherently dangerous to human life ... advisedly done so recklessly and licentiously as to demonstrate a mind utterly without respect for human life and social duty and advisedly bent on devilry , ” is adequate to prove “ malice. ” State v. Davis , 197 N.C.App ."
35,4,,,,M8,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“[a]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” v. davis, n.c.app."
36,4,,,,M11,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“An act dangerous to human life…an act deliberately reckless and immoral, with complete disregard for human life and social duty, and tending to cause deliberate mischief” is sufficient to prove “maliciousness.” State v. Davis, 197 N.C.App."
37,4,,,,M2,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“ [ A ] n act is dangerous to human life ... if done so deliberately and deliberately as to cause a mind utterly without respect for human life and social duty and not set on evil , ” is necessary to prove “ malice. ” State v. Davis , 197 N.C.App ."
38,4,,,,M1,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","He said that there was a dangerous problem to human life ... intentionally done so recklessly and wantonly as to show a mind utterly without regard for human life and social duty . This would bent on mischief, Solomon is enough to show the order in order to show that State v. Davis, 197 N.App."
39,4,,,,M4,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","The United States Supreme Court has said that ""an act inherently dangerous to human life ... done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief, is sufficient to demonstrate ""malice."""
40,4,,,,M9,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to clear a mind utterly without considering human life and social duty and deliberately based on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App."
41,4,,,,M10,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“An act dangerous to human life…an act deliberately reckless and immoral, with complete disregard for human life and social duty, and tending to cause deliberate mischief” is sufficient to prove “maliciousness.” State v. Davis, 197 N.C.App."
42,4,,,,M3,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“ [ A ] n act is dangerous to human life ... intentionally done so deliberately and deliberately as to manifest a mind utterly without regard for human life and social duty and deliberately bent on revenge , ” is sufficient to demonstrate “ malice. ” State v. Davis , 197 N.C.App ."
43,4,,,,M7,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“ [A] n act necessarily dangerous to human life...intentionally done so deliberately and deliberately as to manifest a mind utterly without regard for human life and social duty and deliberately bent on harm, ” is sufficient to demonstrate “ malice. ” State v. Davis, 197 N.C.App."
44,4,,,,M6,"“[A]n act inherently dangerous to human life ... intentionally done so recklessly and wantonly as to manifest a mind utterly without regard for human life and social duty and deliberately bent on mischief,” is sufficient to demonstrate “malice.” State v. Davis, 197 N.C.App.","“ [ A ] n act necessarily dangerous to human life ... intentionally done so deliberately and deliberately as to manifest a mind utterly without regard for human life and social duty and deliberately bent on harm , ” is sufficient to demonstrate “ malice . ” State v. Davis , 197 N.C.App ."
45,5,,,,M1,"Because the State of South Dakota filed suit on its own accord in state court in this case, at a time of its own choosing, with its hand-picked defendants, no such unfair prejudice is present, and FAG Bearings can appropriately be distinguished.","Because the State of South Dakota started using its own accord in state court in this case , at a time of its own choosing, with its hand-picked defendants, no such unfair prejudice is present, and FAG Bearings can be distinguished ."
46,5,,,,M3,"Because the State of South Dakota filed suit on its own accord in state court in this case, at a time of its own choosing, with its hand-picked defendants, no such unfair prejudice is present, and FAG Bearings can appropriately be distinguished.","Because the State of South Dakota brought suit on its own accord in state court in this case , at a time of its own choosing , with its hand-picked jury , no such unfair prejudice is present , and FAG Bearings can appropriately be distinguished ."
47,5,,,,M2,"Because the State of South Dakota filed suit on its own accord in state court in this case, at a time of its own choosing, with its hand-picked defendants, no such unfair prejudice is present, and FAG Bearings can appropriately be distinguished.","Because the State of South Dakota brought suit on its own behalf in state court in this case , at a time of its own making , with its own jury , no such unfair trial is present , and FAG Bearings can appropriately be used ."
