text_pair_id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
1,4,,,,M6,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review and made the one of 20 June 2000."
2,4,,,,M2,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's request , that the search had been successful . The decision was not decided against and entered in force ten days later . On 8 May 2001 the court of the moscow district Court denied the party 's request for administrative review and confirmed the decision of 20 June 2000 ."
3,7,,,,M2,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask at any time for the case to be cleared . The trial judge will rule within five days of such an action . ”
4,7,,,,M6,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating judge shall rule within five days of such an application.â
5,16,,,,M6,"Eleven hearings were adjourned because of various problems attributable to the authorities, such as the failure to properly summon or serve documents on defendants, or to obtain expert reports in time.","Eleven years were adjourned because of various problems other to the authorities, such as the failure to properly summon or serve documents on authorities, or to obtain expert reports in time."
6,16,,,,M2,"Eleven hearings were adjourned because of various problems attributable to the authorities, such as the failure to properly summon or serve documents on defendants, or to obtain expert reports in time.","Eleven sessions were held because of several problems reported to the authorities , such as the failure to either prepare or serve information on file , or to provide case reports in time ."
7,17,,,,M6,"On 23 September 2004 the Pavlograd City Court rejected the applicant's complaint against the Bailiffs. The court indicated, inter alia, that the award could not be paid due to the debtor's lack of funds. The scope of action for the Bailiffs was also limited by the funds allocated from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits.","On 23 September 2004 the Pavlograd City Court rejected the second's complaint against the Bailiffs. The court indicated, the part, that the award could not be paid due to the business's lack of funds. The scope of action for the Bailiffs was also limited by the funds made from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits."
8,17,,,,M2,"On 23 September 2004 the Pavlograd City Court rejected the applicant's complaint against the Bailiffs. The court indicated, inter alia, that the award could not be paid due to the debtor's lack of funds. The scope of action for the Bailiffs was also limited by the funds allocated from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits.","On 23 September 2004 the Pavlograd City Court dismissed the city 's claim against the Bailiffs . The court found , ex se , that the award could not be paid due to the government 's loss of money . The course of action for the Bailiffs was also determined by the money transferred from the State Budget to the Ministry of Fuel and Energy for all of the insurance costs ."
9,18,,,,M6,"If despite any evidence relied upon to explain his silence or in the absence of any such evidence, the jury conclude the silence can only sensibly be attributed to the defendant's having no answer or none that would stand up to cross-examination, they may draw an adverse inference.”","If despite any evidence put upon to explain his silence or in the absence of any such evidence, the jury conclude the silence can only not be hard to the defendant's having no answer or none that would stand up to cross-examination, they may draw an other inference.â"
10,18,,,,M2,"If despite any evidence relied upon to explain his silence or in the absence of any such evidence, the jury conclude the silence can only sensibly be attributed to the defendant's having no answer or none that would stand up to cross-examination, they may draw an adverse inference.”","If given any information called upon to explain his behavior or in the presence of any such information , the jury said the truth can only ever be due to the person 's having no answer or none that would stand up to him , they may draw an alternative conclusion . ”"
11,31,,,,M6,The applicant lodged a petition for review with the Supreme Court. On 9 February 2005 the Supreme Court dismissed the applicant’s petition. This decision was served on him on 25 April 2005.,The person lodged a case for review with the Supreme Court. On 9 February 2005 the Supreme Court dismissed the personâs case. This decision was served on him on 25 April 2005.
