text_pair_id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
1,1,,,,M1,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:"
2,1,,,,M2,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the state in the former Soviet Union was described in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were written along similar lines . Those lines stated :"
3,1,,,,M3,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was described in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were written along identical lines . Those lines stated :"
4,1,,,,M4,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), both of which stated the same thing:"
5,1,,,,M5,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was delineated in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were phrased along indistinguishable lines . Those stipulations stated :"
6,1,,,,M6,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was said in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were said along identical lines. Those the stated:"
7,1,,,,M7,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The. Role of the CPSU in the former Soviet Union was said in 6 Constitution 1978 Article in Article 6 of the Constitution of the USSR (1977) in Article 6 of the Constitution of the Latvian SSR (1978), were said in 6 Constitution 1978 Article along identical lines. Those the stated:"
8,2,,,,M1,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.
9,2,,,,M2,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The man was arrested and charged between 4 February 1997 and 2 April 1997 . On 6 March 1997 the sentence is was served on him .
10,2,,,,M3,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The man was arrested and detained between 4 February 1997 and 2 April 1997 . On 6 March 1997 the trial was was served on him .
11,2,,,,M4,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,Between 4 February 1997 and 2 April 1997 the applicant was arrested and detained. On 6 March 1997 the provisional indictment was served on him.
12,2,,,,M5,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The applicant was nabbed and detained between 4 February 1997 and 2 April 1997 . On 6 March 1997 the provisionary indictment was served on him .
13,2,,,,M6,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The father was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the first one was served on him.
14,2,,,,M7,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The father was arrested detained between 4 February 1997 2 April 1997. On 6 March 1997 the first One was served on him.
15,3,,,,M1,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.
16,3,,,,M2,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the defendant was arrested with murder . It seems that the man had by then left the country and was not informed of the case .
17,3,,,,M3,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the defendant was charged with manslaughter . It appears that the man had by then left the country and was not notified of the decision .
18,3,,,,M4,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,The applicant was charged with manslaughter on 25 June 1993. The applicant had by then left the country and was not notified of the decision.
19,3,,,,M5,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the applicant was charged with manslaughter . It seems that the applicant had by then left the country and was not informed of the decision .
20,3,,,,M6,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the father was charged with manslaughter. It appears that the father had by then left the country and was not notified of the decision.
21,3,,,,M7,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the. Father was charged with manslaughter. It appears that the father had by then left the country was not notified of the decision.
