,Original,Simplified,Model,Adequacy,Fluency,Simplicity
0,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:",M1,,,
1,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the state in the former Soviet Union was described in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were written along similar lines . Those lines stated :",M2,,,
2,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was described in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were written along identical lines . Those lines stated :",M3,,,
3,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), both of which stated the same thing:",M4,,,
4,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was delineated in Article 6 of the Constitution of the USSR ( 1977 ) and in Article 6 of the Constitution of the Latvian SSR ( 1978 ) , which were phrased along indistinguishable lines . Those stipulations stated :",M5,,,
5,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The role of the CPSU in the former Soviet Union was said in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were said along identical lines. Those the stated:",M6,,,
6,"The role of the CPSU in the former Soviet Union was defined in Article 6 of the Constitution of the USSR (1977) and in Article 6 of the Constitution of the Latvian SSR (1978), which were worded along identical lines. Those provisions stated:","The. Role of the CPSU in the former Soviet Union was said in 6 Constitution 1978 Article in Article 6 of the Constitution of the USSR (1977) in Article 6 of the Constitution of the Latvian SSR (1978), were said in 6 Constitution 1978 Article along identical lines. Those the stated:",M7,,,
7,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,M1,,,
8,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The man was arrested and charged between 4 February 1997 and 2 April 1997 . On 6 March 1997 the sentence is was served on him .,M2,,,
9,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The man was arrested and detained between 4 February 1997 and 2 April 1997 . On 6 March 1997 the trial was was served on him .,M3,,,
